"","Date","SPY.Close","SPY.Volume"
"2025-01-02",2025-01-02,584.640014648438,50.204
"2025-01-03",2025-01-03,591.950012207031,37.8885
"2025-01-06",2025-01-06,595.359985351562,47.6794
"2025-01-07",2025-01-07,588.630004882812,60.3931
"2025-01-08",2025-01-08,589.489990234375,47.3047
"2025-01-10",2025-01-10,580.489990234375,73.105
"2025-01-13",2025-01-13,581.390014648438,47.9101
"2025-01-14",2025-01-14,582.190002441406,48.4206
"2025-01-15",2025-01-15,592.780029296875,56.9002
"2025-01-16",2025-01-16,591.640014648438,43.3197
"2025-01-17",2025-01-17,597.580017089844,58.0706
"2025-01-21",2025-01-21,603.049987792969,42.5329
"2025-01-22",2025-01-22,606.440002441406,48.196
"2025-01-23",2025-01-23,609.75,41.1521
"2025-01-24",2025-01-24,607.969970703125,34.6047
"2025-01-27",2025-01-27,599.369995117188,70.3611
"2025-01-28",2025-01-28,604.52001953125,44.4333
"2025-01-29",2025-01-29,601.809997558594,37.1774
"2025-01-30",2025-01-30,605.039978027344,39.2813
"2025-01-31",2025-01-31,601.820007324219,66.5669
"2025-02-03",2025-02-03,597.77001953125,65.8572
"2025-02-04",2025-02-04,601.780029296875,33.4578
"2025-02-05",2025-02-05,604.219970703125,30.6531
"2025-02-06",2025-02-06,606.320007324219,35.7715
"2025-02-07",2025-02-07,600.77001953125,50.7885
"2025-02-10",2025-02-10,604.849975585938,26.0487
"2025-02-11",2025-02-11,605.309997558594,30.0567
"2025-02-12",2025-02-12,603.359985351562,45.0761
"2025-02-13",2025-02-13,609.72998046875,40.9213
"2025-02-14",2025-02-14,609.700012207031,26.9104
"2025-02-18",2025-02-18,611.489990234375,26.749
"2025-02-19",2025-02-19,612.929992675781,31.0111
"2025-02-20",2025-02-20,610.380004882812,36.554
"2025-02-21",2025-02-21,599.940002441406,76.5198
"2025-02-24",2025-02-24,597.210021972656,50.7372
"2025-02-25",2025-02-25,594.239990234375,58.2665
"2025-02-26",2025-02-26,594.539978027344,43.3216
"2025-02-27",2025-02-27,585.049987792969,74.1967
"2025-02-28",2025-02-28,594.179992675781,88.7441
"2025-03-03",2025-03-03,583.77001953125,74.2492
"2025-03-04",2025-03-04,576.859985351562,109.6482
"2025-03-05",2025-03-05,583.059997558594,71.2305
"2025-03-06",2025-03-06,572.710021972656,80.0949
"2025-03-07",2025-03-07,575.919982910156,81.1588
"2025-03-10",2025-03-10,560.580017089844,99.3266
"2025-03-11",2025-03-11,555.919982910156,88.1021
"2025-03-12",2025-03-12,558.869995117188,69.5882
"2025-03-13",2025-03-13,551.419982910156,74.0794
"2025-03-14",2025-03-14,562.809997558594,62.6603
